species,flipper_length_mm,culmen_length_mm,culmen_depth_mm,body_mass_g,island,sex
Chinstrap penguin (Pygoscelis antarctica),195,49.2,18.2,4400,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),181,42.4,17.3,3600,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),191,48.5,17.5,3400,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),187,43.2,16.6,2900,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),193,50.6,19.4,3800,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),195,46.7,17.9,3300,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),197,52,19,4150,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),200,50.5,18.4,3400,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),200,49.5,19,3800,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),191,46.4,17.8,3700,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),205,52.8,20,4550,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),187,40.9,16.6,3200,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),201,54.2,20.8,4300,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),187,42.5,16.7,3350,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),203,51,18.8,4100,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),195,49.7,18.6,3600,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),199,47.5,16.8,3900,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),195,47.6,18.3,3850,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),210,52,20.7,4800,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),192,46.9,16.6,2700,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),205,53.5,19.9,4500,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),210,49,19.5,3950,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),187,46.2,17.5,3650,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),196,50.9,19.1,3550,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),196,45.5,17,3500,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),196,50.9,17.9,3675,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),201,50.8,18.5,4450,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),190,50.1,17.9,3400,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),212,49,19.6,4300,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),187,51.5,18.7,3250,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),198,49.8,17.3,3675,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),199,48.1,16.4,3325,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),201,51.4,19,3950,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),193,45.7,17.3,3600,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),203,50.7,19.7,4050,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),187,42.5,17.3,3350,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),197,52.2,18.8,3450,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),191,45.2,16.6,3250,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),203,49.3,19.9,4050,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),202,50.2,18.8,3800,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),194,45.6,19.4,3525,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),206,51.9,19.5,3950,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),189,46.8,16.5,3650,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),195,45.7,17,3650,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),207,55.8,19.8,4000,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),202,43.5,18.1,3400,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),193,49.6,18.2,3775,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),210,50.8,19,4100,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),198,50.2,18.7,3775,Dream,FEMALE
Gentoo penguin (Pygoscelis papua),211,46.1,13.2,4500,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),230,50,16.3,5700,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),210,48.7,14.1,4450,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),218,50,15.2,5700,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),215,47.6,14.5,5400,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),210,46.5,13.5,4550,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),211,45.4,14.6,4800,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),219,46.7,15.3,5200,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),209,43.3,13.4,4400,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),215,46.8,15.4,5150,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),214,40.9,13.7,4650,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),216,49,16.1,5550,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),214,45.5,13.7,4650,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),213,48.4,14.6,5850,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),210,45.8,14.6,4200,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),217,49.3,15.7,5850,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),210,42,13.5,4150,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),221,49.2,15.2,6300,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),209,46.2,14.5,4800,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),222,48.7,15.1,5350,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),218,50.2,14.3,5700,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),215,45.1,14.5,5000,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),213,46.5,14.5,4400,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),215,46.3,15.8,5050,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),215,42.9,13.1,5000,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),215,46.1,15.1,5100,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),215,47.8,15,5650,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),210,48.2,14.3,4600,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),220,50,15.3,5550,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),222,47.3,15.3,5250,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),209,42.8,14.2,4700,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),207,45.1,14.5,5050,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),230,59.6,17,6050,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),220,49.1,14.8,5150,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),220,48.4,16.3,5400,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),213,42.6,13.7,4950,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),219,44.4,17.3,5250,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),208,44,13.6,4350,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),208,48.7,15.7,5350,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),208,42.7,13.7,3950,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),225,49.6,16,5700,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),210,45.3,13.7,4300,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),216,49.6,15,4750,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),222,50.5,15.9,5550,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),217,43.6,13.9,4900,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),210,45.5,13.9,4200,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),225,50.5,15.9,5400,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),213,44.9,13.3,5100,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),215,45.2,15.8,5300,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),210,46.6,14.2,4850,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),220,48.5,14.1,5300,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),210,45.1,14.4,4400,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),225,50.1,15,5000,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),217,46.5,14.4,4900,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),220,45,15.4,5050,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),208,43.8,13.9,4300,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),220,45.5,15,5000,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),208,43.2,14.5,4450,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),224,50.4,15.3,5550,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),208,45.3,13.8,4200,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),221,46.2,14.9,5300,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),214,45.7,13.9,4400,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),231,54.3,15.7,5650,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),219,45.8,14.2,4700,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),230,49.8,16.8,5700,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),229,49.5,16.2,5800,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),220,43.5,14.2,4700,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),223,50.7,15,5550,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),216,47.7,15,4750,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),221,46.4,15.6,5000,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),221,48.2,15.6,5100,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),217,46.5,14.8,5200,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),216,46.4,15,4700,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),230,48.6,16,5800,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),209,47.5,14.2,4600,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),220,51.1,16.3,6000,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),215,45.2,13.8,4750,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),223,45.2,16.4,5950,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),212,49.1,14.5,4625,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),221,52.5,15.6,5450,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),212,47.4,14.6,4725,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),224,50,15.9,5350,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),212,44.9,13.8,4750,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),228,50.8,17.3,5600,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),218,43.4,14.4,4600,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),218,51.3,14.2,5300,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),212,47.5,14,4875,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),230,52.1,17,5550,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),218,47.5,15,4950,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),228,52.2,17.1,5400,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),212,45.5,14.5,4750,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),224,49.5,16.1,5650,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),214,44.5,14.7,4850,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),226,50.8,15.7,5200,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),216,49.4,15.8,4925,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),222,46.9,14.6,4875,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),203,48.4,14.4,4625,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),225,51.1,16.5,5250,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),219,48.5,15,4850,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),228,55.9,17,5600,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),215,47.2,15.5,4975,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),228,49.1,15,5500,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),215,46.8,16.1,5500,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),210,41.7,14.7,4700,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),219,53.4,15.8,5500,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),208,43.3,14,4575,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),209,48.1,15.1,5500,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),216,50.5,15.2,5000,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),229,49.8,15.9,5950,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),213,43.5,15.2,4650,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),230,51.5,16.3,5500,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),217,46.2,14.1,4375,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),230,55.1,16,5850,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),217,44.5,15.7,4875,Biscoe,.
Gentoo penguin (Pygoscelis papua),222,48.8,16.2,6000,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),214,47.2,13.7,4925,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),215,46.8,14.3,4850,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),222,50.4,15.7,5750,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),212,45.2,14.8,5200,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),213,49.9,16.1,5400,Biscoe,MALE
